crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20799,Open,ANTH 1001,A,Introduction to Anthropology,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,11:35,14:25,ON,LINE,,ANTH
20800,Open,ANTH 2550,B,Religion and Society,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Tue Thu,11:35,14:25,ON,LINE,,ANTH
20801,Open,ANTH 2850,A,Development & Underdevelopment,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,14:35,17:25,ON,LINE,,ANTH
20802,Open,ANTH 2915,A,Course-Related Tut. in Anthro.,.5,Tutorial,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,ANTH
21192,Open,ANTH 2925,A,Course-Related Tut. in Anthro.,.5,Tutorial,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
21193,Open,ANTH 3027,A,Stud in Globalization & Human,.5,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Tue Thu,18:05,20:55,ON,LINE,,ANTH
21194,Open,ANTH 3045,A,Child Childhood Global World,.5,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Tue Thu,11:35,14:25,ON,LINE,,ANTH
20803,Open,ANTH 3915,A,Course-Related Tut. in Anthro.,.5,Tutorial,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,ANTH
21195,Open,ANTH 3925,A,Course-Related Tut. in Anthrop,.5,Tutorial,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20804,Open,ANTH 4225,B,ST: Race and Medicine,.5,Seminar,No,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,11:35,14:25,ON,LINE,,ANTH
20027,Open,ANTH 4900,B,Hon. Res. Paper in Anthro.,1,Research Essay,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20805,Open,ANTH 4915,A,Tutorial in Anthropology,.5,Tutorial,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: Room:,,,Room:,,,ANTH
21196,Open,ANTH 4925,A,Tutorial in Anthropology,.5,Tutorial,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20806,Open,ANTH 5708,B,ST: Race & Medicine,.5,Seminar,No,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,11:35,14:25,ON,LINE,,ANTH
20028,Open,ANTH 5900,S,Tutorial,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20029,Open,ANTH 5900,U,Tutorial,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20030,Open,ANTH 5907,S,Placement in Anthropology,.5,Directed Studies,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20031,Open,ANTH 5908,S,M.A. Research Essay,1,Research Essay,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20032,Open,ANTH 5909,S,M.A. Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20033,Open,ANTH 6900,S,Tutorial,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
20034,Open,ANTH 6909,A,Ph.D Thesis,0,PhD Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,ANTH
