crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20928,Open,ECOR 1041,S,Computation and Programming,.25,Lecture,No,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,08:35,09:55,Azrieli Theatre,302,,ECOR
20930,Open,ECOR 1041,S2,Computation and Programming,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Fri,14:35,17:25,Nicol Building,4020,,ECOR
21263,Open,ECOR 1041,T,Computation and Programming,.25,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,08:35,09:55,Azrieli Theatre,302,,ECOR
21265,Open,ECOR 1041,T2,Computation and Programming,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Thu,08:35,11:25,Southam Hall,502,,ECOR
20932,Open,ECOR 1042,S,Data Management,.25,Lecture,Yes,Yes,,"May 05, 2025","Jun 17, 2025",Tue Thu,10:05,11:25,Azrieli Theatre,302,,ECOR
20933,Open,ECOR 1042,S1,Data Management,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon,08:35,11:25,Nicol Building,3020,,ECOR
20934,Open,ECOR 1042,S2,Data Management,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Wed,11:35,14:25,Nicol Building,4030,,ECOR
20935,Open,ECOR 1042,S3,Data Management,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Fri,11:35,14:25,Nicol Building,3030,,ECOR
21267,Open,ECOR 1042,T,Data Management,.25,Lecture,Yes,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,10:05,11:25,Azrieli Theatre,302,,ECOR
21268,Open,ECOR 1042,T1,Data Management,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Wed,11:35,14:25,Southam Hall,502,,ECOR
21269,Open,ECOR 1042,T2,Data Management,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Fri,08:35,11:25,Nicol Building,4030,,ECOR
21270,Open,ECOR 1042,T3,Data Management,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Tue,08:35,11:25,Southam Hall,502,,ECOR
20936,Open,ECOR 1043,S,Circuits,.25,Lecture,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,08:35,09:55,Azrieli Theatre,302,,ECOR
20937,Open,ECOR 1043,S1,Circuits,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Fri,08:35,11:25,Canal Building,4301,,ECOR
20938,Open,ECOR 1043,S2,Circuits,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Wed,14:35,17:25,Canal Building,4301,,ECOR
21271,Open,ECOR 1043,T,Circuits,.25,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,16:05,17:25,Azrieli Theatre,102,,ECOR
21272,Open,ECOR 1043,T1,Circuits,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Wed,11:35,14:25,Canal Building,4301,,ECOR
21273,Open,ECOR 1043,T2,Circuits,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon,11:35,14:25,Canal Building,4301,,ECOR
20940,Open,ECOR 1044,S,Mechatronics,.25,Lecture,Yes,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,10:05,11:25,Azrieli Theatre,302,,ECOR
20941,Open,ECOR 1044,S1,Mechatronics,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Thu,11:35,14:25,Canal Building,4301,,ECOR
20942,Open,ECOR 1044,S2,Mechatronics,0,Laboratory,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon,11:35,14:25,Canal Building,4301,,ECOR
21275,Open,ECOR 1044,T,Mechatronics,.25,Lecture,Yes,Yes,,"Jul 02, 2025","Aug 14, 2025",Tue Thu,16:05,17:25,Azrieli Theatre,302,,ECOR
21276,Open,ECOR 1044,T1,Mechatronics,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Fri,11:35,14:25,Canal Building,4301,,ECOR
21277,Open,ECOR 1044,T2,Mechatronics,0,Laboratory,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Thu,11:35,14:25,Canal Building,4301,,ECOR
20944,Open,ECOR 1045,S,Statics,.25,Lecture,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,16:05,17:25,Minto Centre,5050,,ECOR
20945,Open,ECOR 1045,S1,Statics,0,Laboratory,No,No,,"May 05, 2025","Jun 17, 2025",Fri,14:35,17:25,Mackenzie Building,3328,,ECOR
20947,Open,ECOR 1045,S3,Statics,0,Laboratory,No,No,,"May 05, 2025","Jun 17, 2025",Mon,08:35,11:25,Mackenzie Building,3328,,ECOR
21279,Open,ECOR 1045,T,Statics,.25,Lecture,No,Yes,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,ECOR
21280,Open,ECOR 1045,T1,Statics,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,ECOR
21281,Open,ECOR 1045,T2,Statics,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,ECOR
21282,Open,ECOR 1045,T3,Statics,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,ECOR
