crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20470,Open,IPAF 4900,A,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20471,Open,IPAF 4900,B,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20472,Open,IPAF 4900,C,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20473,Open,IPAF 4900,D,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20474,Open,IPAF 4900,E,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20475,Open,IPAF 4900,F,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20476,Open,IPAF 4900,G,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20477,Open,IPAF 4900,H,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20478,Open,IPAF 4900,I,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20479,Open,IPAF 4900,J,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20480,Open,IPAF 4900,K,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
20481,Open,IPAF 4900,L,Research Experience Course,.5,Research Project,No,No,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,IPAF
