crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
20616,Open,PADM 5291,S,Dir. Std.,.5,Directed Studies,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20617,Open,PADM 5444,S,Ben Cost Analysis for Eval,.5,Seminar,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,PADM
20618,Open,PADM 5702,A,Housing Policy,.5,Seminar,No,Yes,,"May 05, 2025","Aug 14, 2025",Tue,17:35,20:25,Richcraft Hall,3201,,PADM
21101,Open,PADM 5702,B,Banking Regulation,.5,Lecture,No,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,17:35,20:25,Richcraft Hall,3110,,PADM
21442,Open,PADM 5702,O,Policy Seminars,.5,Seminar,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,17:35,20:25,ON,LINE,,PADM
20621,Open,PADM 5908,S,Research Essay,1,Research Essay,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20622,Open,PADM 5909,S,M.P.P.A. Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20624,Open,PADM 6900,A,Ph.D Comprehensive Examination,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20625,Open,PADM 6901,S,Ph.D. Specialization Tutorial,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20626,Open,PADM 6902,S,Ph.D. Specialization Tutorial,.5,Tutorial,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
20627,Open,PADM 6909,S,Ph.D. Thesis,0,PhD Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PADM
