crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
21104,Open,PHIL 1200,A,The Meaning of Life,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Tue Thu,14:35,17:25,Mackenzie Building,3275,,PHIL
21105,Open,PHIL 1550,A,Intro Ethics & Social Issues,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,17:35,20:25,ON,LINE,,PHIL
21366,Open,PHIL 2001,A,Introduction to Symbolic Logic,.5,Lecture,No,No,,"Jul 02, 2025","Aug 14, 2025",Tue Thu,17:35,20:25,ON,LINE,,PHIL
21367,Open,PHIL 2330,A,Happiness and the Good Life,.5,Lecture,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,PHIL
21368,Open,PHIL 2340,A,Philosophy and Popular Culture,.5,Lecture,No,No,,"Jul 02, 2025","Aug 14, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,PHIL
21106,Open,PHIL 2380,A,Intro to Environmental Ethics,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Time: Building: ON Room: LINE,,,ON,LINE,,PHIL
21107,Open,PHIL 2405,A,Philosophy of the Paranormal,.5,Lecture,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,14:35,17:25,ON,LINE,,PHIL
21369,Open,PHIL 2501,A,Intro to Philosophy of Mind,.5,Lecture,No,No,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,14:35,17:25,ON,LINE,,PHIL
20646,Open,PHIL 5908,S,Research Essay,1,Research Essay,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PHIL
20647,Open,PHIL 5909,S,M.A. Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,PHIL
