crn,status,course_code,section,title,credits,type,hybrid,online,instructor,start_date,end_date,days,start_time,end_time,building,room,section_info,program_code
21169,Open,SYSC 2004,A,Object-Oriented Sofware Dvlpmt,.5,Lecture,Yes,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,14:35,17:25,Mackenzie Building,3328,,SYSC
21170,Open,SYSC 2004,L1,Object-Oriented Sofware Dvlpmt,0,Laboratory,No,No,,"May 05, 2025","Jun 17, 2025",Mon Wed,17:35,19:25,Minto Centre,6010,,SYSC
21422,Open,SYSC 2100,A,Algorithms and Data Structures,.5,Lecture,Yes,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,14:35,17:25,Mackenzie Building,4499,,SYSC
21423,Open,SYSC 2100,L1,Algorithms and Data Structures,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,17:35,19:25,Minto Centre,6010,,SYSC
21424,Open,SYSC 2320,A,Intro. Computer Org. and Arch.,.5,Lecture,Yes,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,11:35,14:25,Nicol Building,4010,,SYSC
21425,Open,SYSC 2320,L1,Intro. Computer Org. and Arch.,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,08:35,11:25,Minto Centre,6010,,SYSC
21426,Open,SYSC 3006,A,Computer Organization,.5,Lecture,Yes,Yes,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,11:35,14:25,Nicol Building,4010,,SYSC
21427,Open,SYSC 3006,L1,Computer Organization,0,Laboratory,No,No,,"Jul 02, 2025","Aug 14, 2025",Mon Wed,08:35,11:25,Minto Centre,6010,,SYSC
21171,Open,SYSC 3501,A,Communication Theory,.5,Lecture,Yes,Yes,,"May 05, 2025","Jun 17, 2025",Mon Wed,11:35,14:25,Mackenzie Building,3380,,SYSC
21172,Open,SYSC 3501,L1,Communication Theory,0,Laboratory,No,No,,"May 05, 2025","Jun 17, 2025",Mon,08:35,11:25,Minto Centre,6010,,SYSC
20762,Open,SYSC 5900,S,Systems Engineering Project,.5,Research Project,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,SYSC
20763,Open,SYSC 5906,S,Directed Studies,.5,Directed Studies,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,SYSC
20764,Open,SYSC 5909,S,Masters Thesis,0,Masters Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,SYSC
20765,Open,SYSC 6909,S,Ph.D. Thesis,0,PhD Thesis,No,Yes,,"May 05, 2025","Aug 14, 2025",Time: Building: Room:,,,Room:,,,SYSC
